Titulo,Autores,Revista,Año,Link
Morphospace of lanternfish larvae and their interplay with oceanographic conditions from the southeastern Pacific Ocean,"Orrego, Fernanda S; Benítez, Hugo A; Castillo, Manuel I; Cumplido, Nicolás; Fabres, Alejandra; Figueroa-González, Yanara; Morales, Claudia; Zavala-Muñoz, Francisca; Landaeta, Mauricio F",Deep Sea Research Part I: Oceanographic Research Papers,2024,https://doi.org/10.1016/j.dsr.2024.104413
Modelling the interannual variability of Maipo and Rapel river plumes off central Chile,"Salcedo-Castro, Julio; Olita, Antonio; Saavedra, Freddy; Castillo, Manuel; Saldías, Gonzalo S; Cruz-Gómez, Raúl",EGUsphere,2023,https://doi.org/10.5194/egusphere-2023-98
"Spatio-temporal patterns of the crustacean demersal fishery discard from the south Humboldt Current System, based on scientific observer program (2014–2019)","Landaeta, Mauricio F; Hernández-Santoro, Carola; Search, Francesca V; Castillo, Manuel I; Bernal, Claudio; Navarrete, Sergio A; Wieters, Evie A; Beldade, Ricardo; Navarro Campoi, Ana; Pérez-Matus, Alejandro",Plos One,2023,
Spatio‐temporal patterns of ichthyoplankton in southern Chilean Patagonia: β‐diversity and associated environmental factors,"Landaeta, Mauricio F; Paredes, Lissette D; Castillo, Manuel I; González, M Teresa",Fisheries Oceanography,2023,https://doi.org/10.1111/fog.12633
Oceanographic processes favoring deoxygenation inside Patagonian fjords,"Linford, Pamela; Pérez-Santos, Iván; Montero, Paulina; Díaz, Patricio; Aracena, Claudia; Pinilla, Elías; Barrera, Facundo; Castillo, Manuel; Alvera-Azcárate, Aida; Alvarado, Mónica",EGUsphere,2023,
Linking shape and growth in young-of-the-year rockfish: an ecological carry-over effect?,"Landaeta, Mauricio F; Gómez, Anakaren; Contreras, Jorge E; Figueroa-González, Yanara; Pinilla, Elías; Reche, Pablo; Castillo, Manuel I; Plaza, Guido",Marine Biology,2023,https://doi.org/10.1007/s00227-023-04245-y
Ocean and Climate Synergies: From Ocean Warming to Rising Sea Levels,"Castillo, Manuel; Mathew, Dayana; Karmel, Moehammad Ediyan Raza",United Nations ESCAP,2022,https://hdl.handle.net/20.500.12870/4636
Oceanographic influences on the early life stages of a mesopelagic fish across the Chilean Patagonia,"Molina-Valdivia, Víctor; Bustos, Claudia A; Castillo, Manuel I; Search, Francesca V; Plaza, Guido; Landaeta, Mauricio F",Progress in Oceanography,2021,https://doi.org/10.1016/j.pocean.2021.102572
Short-term variations in the early life history traits of common sardine Strangomera bentincki and anchoveta Engraulis ringens off central Chile,"Molina-Valdivia, Victor; Landaeta, Mauricio F; Castillo, Manuel I; Alarcón, Darly; Plaza, Guido",Fisheries Research,2020,https://doi.org/10.1016/j.fishres.2019.105460
Water age variability in a Patagonian fjord,"Pinilla, Elías; Castillo, Manuel I; Pérez-Santos, Iván; Venegas, Oliver; Valle-Levinson, Arnoldo",Journal of Marine Systems,2020,https://doi.org/10.1016/j.jmarsys.2020.103376
Environmental determinants in morphospace and diet of the larval blenny Calliclinus geniguttatus from an upwelling ecosystem,"Galeano‐Chavarria, Ana María; Landaeta, Mauricio F; Plaza, Guido; Castillo, Manuel I; Alarcón, Darly S",Journal of Fish Biology,2020,https://doi.org/10.1111/jfb.14539
The influence of regional and local oceanography in early stages of marine fishes from temperate rocky reefs,"Díaz-Astudillo, Macarena; Landaeta, Mauricio F; Bernal-Durán, Valentina; Castillo, Manuel I; Alvarado-Niño, Mónica; Alarcón, Darly",Marine Biology,2019,https://doi.org/10.1007/s00227-019-3490-6
Nearshore environmental conditions influence larval growth and shape changes for a temperate rocky reef fish,"Landaeta, Mauricio F; Bernal-Durán, Valentina; Castillo, Manuel I; Díaz-Astudillo, Macarena; Fernández-General, Bastián; Núñez-Acuña, Pilar",Hydrobiologia,2019,https://doi.org/10.1007/s10750-019-03998-x
"Early life history traits of common sardine, Strangomera bentincki species: estimated by otolith microstructure analysis","Rodríguez-Valentino, Camilo; Landaeta, Mauricio F; Plaza, Guido; Cubillos, Luis A; Castillo, Manuel I",Journal of Sea Research,2018,https://doi.org/10.1016/j.seares.2018.09.006
Turbulence and hypoxia contribute to dense biological scattering layers in a Patagonian fjord system,"Pérez-Santos, Iván; Castro, Leonardo; Ross, Lauren; Niklitschek, Edwin; Mayorga, Nicolás; Cubillos, Luis; Gutierrez, Mariano; Escalona, Eduardo; Castillo, Manuel; Alegría, Nicolás",Ocean Science,2018,https://doi.org/10.5194/os-14-1185-2018
Seiche excitation in a highly stratified fjord of southern Chile: the Reloncaví fjord,"Castillo, Manuel I.; Pizarro, Oscar; Ramirez, Nadin; Caceres, Mario",Ocean Science,2017,https://doi.org/10.5194/os-13-145-2017
Growth and mortality of larval anchoveta in northern Chile during winter and their relationship with coastal hydrographic conditions,"Contreras, Jorge E; Rodriguez‐Valentino, Camilo; Landaeta, Mauricio F; Plaza, Guido; Castillo, Manuel I; Alvarado‐Niño, Mónica",Fisheries Oceanography,2017,https://doi.org/10.1111/fog.12221
Oceanographic and lunar forcing affects nearshore larval fish assemblages from temperate rocky reefs,"Díaz-Astudillo, Macarena; Castillo, Manuel I; Cáceres, Mario A; Plaza, Guido; Landaeta, Mauricio F",Marine Biology Research,2017,https://doi.org/10.1080/17451000.2017.1335874
"Seasonal hydrography and surface outflow in a fjord with a deep sill: the Reloncaví fjord, Chile","Castillo, M. I.; Cifuentes, U.; Pizarro, O.; Djurfeldt, L.; Cáceres, M.",Ocean Science,2016,https://doi.org/10.5194/os-12-533-2016
Underwater glider observations in the oxygen minimum zone off central Chile,"Pizarro, Oscar; Ramírez, Nadin; Castillo, Manuel I; Cifuentes, Ursula; Rojas, Winston; Pizarro-Koch, Matias",Bulletin of the American Meteorological Society,2016,https://doi.org/10.1175/BAMS-D-14-00262.1
Latitudinal Discontinuity in Thermal Conditions along the Nearshore of Central-Northern Chile,"Tapia Jorquera, Fabián; Castillo Silva, Manuel Ignacio; Wieters Buchanan, Evie Ann; Navarrete, Sergio",PLoS One,2014,https://doi.org/10.1371/journal.pone.0110841
Subtidal dynamics in a deep fjord of southern Chile,"Castillo, Manuel I; Pizarro, Oscar; Cifuentes, Ursula; Ramirez, Nadin; Djurfeldt, Leif",Continental Shelf Research,2012,https://doi.org/10.1016/j.csr.2012.08.019
Microbial Initiative in Low Oxygen areas off Concepcion and Oregon(MI_LOCO),"Venegas, RM; Giovannoni, S; Ulloa, O; Barth, JA; Chan, F; Lange, C; Farias, L; Mix, AC; Revsbech, NP; Pizarro, O",Proceedings from the 2010 AGU Ocean Sciences Meeting,2010,https://agu.confex.com/agu/os10/webprogram/Paper6978.html
Thermal indices of upwelling effects on inner-shelf habitats,"Tapia, Fabián J; Navarrete, Sergio A; Castillo, Manuel; Menge, Bruce A; Castilla, Juan C; Largier, John; Wieters, Evie A; Broitman, Bernardo L; Barth, John A",Progress in Oceanography,2009,https://doi.org/10.1016/j.pocean.2009.07.039
"A simulation of the Chilean Coastal Current and associated topographic upwelling near Valparaíso, Chile","Aiken, Christopher M; Castillo, Manuel I; Navarrete, Sergio A",Continental Shelf Research,2008,https://doi.org/10.1016/j.csr.2008.06.012
Along-shore larval dispersal kernels in a numerical ocean model of the central Chilean coast,"Aiken, Christopher M; Navarrete, Sergio A; Castillo, Manuel I; Castilla, Juan Carlos",Marine Ecology Progress Series,2007,https://doi.org/10.3354/meps339013
Características del flujo residual en canales pulluche y chacabuco,"Cáceres, Mario; Valle-Levinson, Arnoldo; Fierro, Juan; Bello, Mónica; Castillo, Manuel",Ciencia y Tecnología del Mar,2007,http://www.shoa.cl/servicios/cimar/resultados/cimar8/articulo3.pdf
Control hidráulico y efecto del viento sobre el flujo en la constricción de Meninea,"Salinas, Sergio; Castillo, Manuel; Fierro, Juan; Letelier, Jaime",Ciencia y Tecnología del Mar,2007,http://www.shoa.cl/servicios/cimar/resultados/cimar8/articulo5.pdf
Effects of sill processes on the distribution of epineustonic competent larvae in a stratified system of Southern Chile,"Molinet, Carlos; Valle-Levinson, Arnoldo; Moreno, Carlos A; Cáceres, Mario; Bello, Mónica; Castillo, Manuel",Marine Ecology Progress Series,2006,https://doi.org/10.3354/meps324095
Lateral variability of flow over a sill in a channel of southern Chile,"Cáceres, Mario; Valle-Levinson, Arnoldo; Molinet, Carlos; Castillo, Manuel; Bello, Monica; Moreno, Carlos",Ocean Dynamics,2006,https://doi.org/10.1007/s10236-006-0062-8
Patrones de corrientes y distribución vertical de temperatura y salinidad en la entrada oceánica del canal Darwin en invierno y primavera de 2002,"Castillo, Manuel; Bello, Mónica; Reyes, Hernán; Guerrero, Yenny",Ciencia y Tecnología del Mar,2006,http://www.shoa.cl/servicios/cimar/resultados/cimar8/articulo2.pdf
Circulation regime in the austral Chilean channels and fjords,"Castillo, Manuel; Valenzuela, Claudia",Avances en el conocimiento oceanográfico de las aguas interiores chilenas,2006,
"Wind-induced exchange at the entrance to Concepción Bay, an equatorward facing embayment in central Chile","Valle–Levinson, A; Schneider, W; Sobarzo, M; Bello, M; Bravo, L; Castillo, M; Duarte, L; Fuenzalida, R; Gallegos, JM; Garcés–Vargas, J",Deep Sea Research Part II: Topical Studies in Oceanography,2004,https://doi.org/10.1016/j.dsr2.2004.09.014
